category,template
kill,"{boss}没了，治疗可以回蓝，输出可以开始回忆自己刚才有没有犯错。"
kill,"{boss}击杀成功，团长宣布先分装备，再决定原谅谁。"
kill,"{boss}倒了，地板组也终于可以站起来参与分赃。"
kill,"{boss}成功击杀，刚才喊“最后一把”的人暂时没有退队。"
kill,"{boss}交装备了，今晚谁是天选之子马上揭晓。"
kill,"{boss}倒下，拍卖师清了清嗓子，排骨人坐直了身体。"
kill,"{boss}击杀，没出毕业装的人请保持情绪稳定。"
kill,"{boss}没撑过斩杀阶段，团长的血压也暂时回落。"
kill,"{boss}倒了，这把虽然过程不太体面，但尸体很体面。"
kill,"{boss}被拿下，团队频道从“注意机制”切换成“卧槽出了”。"
kill,"{boss}击杀完成，刚才躺得最早的人已经开始点评别人操作。"
kill,"{boss}倒地，所有人先看装备，复盘可以稍后装懂。"
kill,"{boss}战斗结束，团长确认了一下，十个人居然真的都还在。"
kill,"{boss}倒了，今晚的副本进度正式向前蠕动了一小步。"
kill,"{boss}击杀，没犯错的人很少，但Boss死了就先不追究了。"
kill,"{boss}交出战利品，团里最虔诚的许愿者开始刷新聊天框。"
kill,"{boss}倒了，输出统计暂时关闭，保护部分团员心理健康。"
kill,"{boss}成功击杀，刚才说装备无所谓的人第一个冲向尸体。"
kill,"{boss}躺了，团长表示这把算过，过程不计入历史。"
kill,"{boss}击杀，大家先庆祝十秒，十秒后继续坐牢。"
kill,"{boss}倒下，副本里短暂恢复了人与人之间的信任。"
kill_deaths,"战复接得及时，{boss}倒了，地上的人也算参与了击杀。"
kill_deaths,"场上虽然少了几个人，但剩下的人终于没跟着一起躺。"
kill_deaths,"{boss}倒了，阵亡人员请不要急着解释，先看装备。"
kill_deaths,"最后阶段死了人，好在Boss比我们更早放弃。"
kill_deaths,"战复拉起来继续打，这次复活没有浪费在第二次死亡上。"
kill_deaths,"减员以后剩下的人突然都会玩了，{boss}成功被收掉。"
kill_deaths,"{boss}和最后一名倒地成员几乎同时去世，算是同归于尽。"
kill_deaths,"最后只剩半个团，硬是把{boss}最后一点血刮没了。"
kill_deaths,"治疗把能按的都按了，输出也终于想起了自己的爆发键。"
kill_deaths,"有人提前躺了，但躺得比较有战略价值，{boss}还是倒了。"
kill_deaths,"战复资源全部交空，最终换来了一具Boss尸体。"
kill_deaths,"{boss}倒了，地板组本次至少提供了精神支持。"
kill_deaths,"最后阶段靠个人技能硬撑，场面像事故，结果算喜剧。"
kill_deaths,"团队带着减员完成击杀，过程不推荐录像回放。"
kill_deaths,"关键岗位还活着，其他岗位暂时以灵魂形态参与。"
kill_deaths,"{boss}被残阵拿下，这把属于打完以后没人敢问细节。"
kill_deaths,"最后一轮死了几个人，但他们成功用尸体拖住了Boss视线。"
kill_deaths,"活着的人把Boss打完了，死的人在语音里提供了大量建议。"
wipe_fatal,"点名没带出去，一炸一大片，{boss}还剩{hp}%。"
wipe_fatal,"关键打断漏了，Boss读完条，全团也读完了自己的人生。"
wipe_fatal,"换坦没接上，主坦躺下以后，副坦才想起自己有嘲讽。"
wipe_fatal,"该分散的时候抱团，该集合的时候各回各家，{boss}剩余{hp}%。"
wipe_fatal,"有人把点名带进人群，成功实现一人犯错，全团放假。"
wipe_fatal,"第一轮机制就有人跑反，本次尝试结束得非常节能。"
wipe_fatal,"关键技能没人处理，大家整齐地回到了副本门口。"
wipe_fatal,"打断顺序完全乱了，第一脚十个人抢，第二脚十个人看。"
wipe_fatal,"坦克把正面扫进人群，近战第一次看清了Boss的脸。"
wipe_fatal,"小怪没人转火，数量很快超过了团员人数。"
wipe_fatal,"集合口令喊了三遍，最后只有团长和空气集合成功。"
wipe_fatal,"分摊人数不够，被点的人带着身边朋友一起下班。"
wipe_fatal,"该进圈的人没进，不该进的人一个没少。"
wipe_fatal,"转火目标活得非常健康，本体伤害倒是打得挺漂亮。"
wipe_fatal,"驱散慢了一拍，Debuff开始在团里进行友好访问。"
wipe_fatal,"有人提前触发机制，团队站位还停留在理论阶段。"
wipe_fatal,"副坦没有接住小怪，小怪直接去远程组自由参观。"
wipe_fatal,"关键减伤没人开，治疗体验了一次十人同时蒸发。"
wipe_fatal,"团长喊停手的时候，Boss已经被强行推进下一阶段。"
wipe_fatal,"地上标记清清楚楚，还是有人选择相信自己的方向感。"
wipe_fatal,"一人失误带走半团，剩下半团坚持多活了五秒。"
wipe_fatal,"这轮不是伤害不够，是智力检定没有通过。"
wipe_fatal,"有人说自己没听见口令，语音里九个人同时陷入沉默。"
wipe_fatal,"关键机制无人认领，仿佛所有人都在等NPC处理。"
wipe_fatal,"Boss还剩{hp}%，团长的耐心剩余量暂时无法显示。"
wipe_fatal,"有人贪了最后一个技能，看起来只能再来一把了。"
wipe_fatal,"机制处理出现轻微偏差，偏差范围大约是整个团队。"
wipe_fatal,"全团站位非常整齐，整齐地站在了不该站的位置。"
wipe_fatal,"Boss技能成功命中十名玩家，命中率令人敬佩。"
wipe_fatal,"本次灭团责任明确，明确到暂时没人愿意说话。"
wipe_attrition,"前面陆续倒人，人数越打越少，最后像五人本挑战{boss}。"
wipe_attrition,"战复拉起一个又倒一个，治疗感觉自己在玩打地鼠。"
wipe_attrition,"减员以后伤害不够，{boss}剩余{hp}%，团员剩余若干。"
wipe_attrition,"治疗先倒了，剩下的人开始用绷带表达求生欲。"
wipe_attrition,"场上一直有人掉队，最后只剩坦克和他的尊严。"
wipe_attrition,"第一个人倒下后没有止损，后面的人开始排队加入地板组。"
wipe_attrition,"战复刚用完又有人倒地，资源管理非常有节奏感。"
wipe_attrition,"存活人数越来越少，最后机制人数要求比活人都多。"
wipe_attrition,"关键岗位倒下以后没人补位，大家选择尊重岗位分工。"
wipe_attrition,"团队带着减员打进后半程，场面努力，结果感人。"
wipe_attrition,"输出、治疗和打断陆续缺人，最后只剩语音还很完整。"
wipe_attrition,"减员没有立刻灭团，只是把死亡过程延长得更有层次。"
wipe_attrition,"战复资源耗尽，下一位倒下的团员获得永久观战资格。"
wipe_attrition,"剩余成员又坚持了一轮，主要作用是给Boss活动筋骨。"
wipe_attrition,"人员缺口太大，分摊人数只能靠想象力补足。"
wipe_attrition,"有人躺得太早，最后只差{hp}%，成功成为重点复盘对象。"
wipe_attrition,"前半程死的人太多，后半程每个机制都像在参加极限挑战。"
wipe_attrition,"地板上的人越来越多，活着的人开始产生孤独感。"
wipe_attrition,"最后阶段坦克和治疗还在撑，输出已经进入精神输出阶段。"
wipe_attrition,"减员以后节奏彻底乱了，{boss}剩余{hp}%，团长沉默了。"
wipe_attrition,"这把不是突然灭团，是大家很有秩序地一个个离开。"
wipe_attrition,"有人没吃到战复，理由是治疗当时也躺着。"
wipe_attrition,"存活人员继续压血，但下一轮机制要求活人数量高于现有人数。"
wipe_attrition,"团队把个人技能全部交完，最后只剩下坚强和普通攻击。"
wipe_attrition,"前面掉人太多，最后{hp}%已经变成了公益陪练。"
wipe_attrition,"每次都只死一个，看起来问题不大，直到场上只剩三个。"
wipe_attrition,"团队坚持了很久，主要成果是把灭团过程拍得比较完整。"
wipe_attrition,"有人死后开始语音指挥，活着的人操作难度立刻翻倍。"
wipe_attrition,"Boss血量缓慢下降，团队人数下降得更快。"
wipe_attrition,"战斗进入后半程，存活名单已经比阵亡名单更方便统计。"
wipe_enrage,"机制基本都做完了，伤害差最后{hp}%，木桩训练安排上。"
wipe_enrage,"狂暴到了，{boss}还剩{hp}%，这把没有战犯，只有十个嫌疑人。"
wipe_enrage,"最后一轮爆发打完，Boss没死，技能倒是全黑了。"
wipe_enrage,"治疗蓝量见底，坦克减伤见底，团长耐心也同步见底。"
wipe_enrage,"全团打到没有技能可交，只剩普通攻击和信仰。"
wipe_enrage,"前面机制处理得不错，至少证明我们会走位，不一定会输出。"
wipe_enrage,"斩杀阶段没压下去，{boss}带着{hp}%进入狂暴教育时间。"
wipe_enrage,"该交的爆发都交了，可能交得比较分散，像分期付款。"
wipe_enrage,"Boss进入狂暴，主坦瞬间理解了什么叫数值碾压。"
wipe_enrage,"战斗时间到，{boss}还剩{hp}%，输出统计即将进入公开处刑环节。"
wipe_enrage,"没人犯致命错误，大家只是非常平均地少打了一点伤害。"
wipe_enrage,"最后阶段全团资源打空，Boss血条依旧保持基本体面。"
wipe_enrage,"嗜血开得太晚，只覆盖了团灭动画。"
wipe_enrage,"前面转火损失太多，Boss本体一直在旁边安心养老。"
wipe_enrage,"输出职业活得很齐，伤害也活得比较保守。"
wipe_enrage,"狂暴计时走完，Boss开始用实际行动催促下班。"
wipe_enrage,"最后几十秒爆发安排混乱，十个人打出了十个不同时间轴。"
wipe_enrage,"团队坚持到最后一轮，Boss血量停在{hp}%，非常尊重整数。"
wipe_enrage,"治疗已经没蓝，坦克已经没技能，输出还在问能不能再打十秒。"
wipe_enrage,"这把机制通过，硬件检查失败，建议回城提升装等或手速。"
wipe_enrage,"全团存活率不错，伤害统计为了保护隐私暂不公开。"
wipe_enrage,"Boss最后{hp}%迟迟压不下去，场面从战斗逐渐变成谈判。"
wipe_enrage,"战斗拖进长期消耗，最后只剩自动攻击还在坚持。"
wipe_enrage,"药水、饰品、爆发全部交完，结果Boss表示还能再打一轮。"
wipe_enrage,"这把没有明显战犯，大家共同承担输出不足的集体荣誉。"
wipe_enrage,"Boss剩余{hp}%，团长建议下把所有人把显示器打开。"
wipe_enrage,"伤害只差一点，这个一点大约等于一个正常输出职业。"
wipe_enrage,"狂暴前十秒团长疯狂催伤害，仿佛喊得大声能增加DPS。"
wipe_enrage,"最后一轮全团奋力输出，Boss也奋力保持存活。"
wipe_enrage,"Boss带着{hp}%进入狂暴，成功拒绝了本团的击杀申请。"
