boss_id,event_id,event_name,target,attributes,team_requirement,event_dc,soft_fail,hard_fail,trait_notes
B06,E03,石握救援,随机被抓者+DPS,团队性|转火|实力,远程有利,66,被抓者死亡,被抓者为治疗且无人救导致灭团,数据执着风险增加
B07,E01,初始开怪,坦克组+猎人,意识|稳定|服从,误导/双坦,69,开怪混乱,猫群秒坦,团长型可正修正
B07,E02,宠物控制,猎人/术士,机制|稳定,有宠物职业,67,提前引到1只,宠物拉全组直接灭团,与人物具体性格无固定绑定
B07,E03,哨兵冲击,打断组,意识|团队性,至少3打断,70,全团受伤,连续漏断灭团,老黄牛加成
B07,E04,群体恐惧,全团,机制|稳定|意识,无,66,队形散乱,恐惧后连锁死亡,调解者仅影响灭团后
B08,E01,雷云分享,随机增益持有者,团队性|意识,远程,76,团队增益利用差,输出不足概率大增,数据执着更易独占
B08,E02,冰柱躲避,随机3人,机制|稳定,无,73,被冻结1人,多人被冻结导致狂暴,高疲劳加难
B08,E03,NPC救援,DPS组,团队性|转火,远程/AOE,72,救援延迟,无人救援导致输出严重不足,排骨/老板不影响
B08,E04,限时输出,全团,专精水平|装等|增益利用,嗜血,78,Boss低血量狂暴,输出差距过大灭团,三治疗输出-11
B09,E01,自动分组,全团,意识|服从|团队性,双坦双治疗,76,一组配置偏弱,关键职责缺失直接灭团,不服从类性格加难
B09,E02,通道推进,通道组,实力|打断|机制,打断+爆发,78,推进过慢,超时导致场地组崩溃,数据执着未必负面
B09,E03,场地控怪,场地组,AOE|坦克水平|治疗,控制/AOE,77,治疗资源增加,场地组全灭,宠物控制可能影响
B09,E04,闪电链分散,全团,机制|稳定,近战不超过4,75,多人受伤,连死多人,近战过多加难
B10,E01,三元素同步,DPS组,服从|团队性|意识,无,80,一只提前死亡重生,完全失控灭团,数据执着/神经刀类加难
B10,E02,爆炸小花,全团,机制|AOE控制,控制/AOE,78,多人重伤,小花同时爆炸灭团,高团队性有利
B10,E03,古树转火,DPS组,转火|意识|实力,远程,77,阶段拖长,治疗压力失控,老黄牛加成
B10,E04,根须救援,随机成员,团队性|意识,无,75,目标死亡,关键治疗被困导致灭团,数据执着加难
B11,E01,震荡冲击,近战组,机制|稳定,无,83,近战死亡1人,多名近战死亡,贪刀类风险高
B11,E02,激光弹幕,随机远程,机制|稳定|压力抗性,无,86,个人死亡,扫死多人直接灭团,网络/低稳定风险高
B11,E03,突击机器人,远程组,转火|控制|团队性,至少3远程,84,副坦压力上升,副坦死亡后连锁灭团,远程不足加难
B11,E04,最终同步击杀,全DPS,服从|团队性|意识,无,87,部件复活一次,多次不同步导致灭团,数据执着风险高
B12,E01,治疗法力管理,治疗组,治疗水平|意识|稳定,2-3治疗,86,提前空蓝,治疗全部空蓝灭团,三治疗并非必然更优
B12,E02,暗影崩坏,随机远程,机制|稳定,无,84,个人死亡,危险区处理失败多人死亡,贪增伤区风险
B12,E03,无面者印记,随机成员,机制|意识,无,88,Boss回血,站人群持续回血导致狂暴,嘴硬型只影响后续聊天
B12,E04,关键打断,打断组,意识|团队性,至少3打断,88,坦克重伤,连续漏断倒坦,强打断有利
B13,E01,云雾躲避,随机3人,机制|稳定,无,89,多召守护者,连续触云导致失控,假经验由低Boss经验体现
B13,E02,传送门分配,指定小组,服从|意识|Boss经验,远程/爆发,92,漏门1人,漏门过多脑内超时,多个团长型可能冲突
B13,E03,触须优先级,全DPS,团队性|转火|意识,远程,91,理智下降,关键触须失控,数据执着加难
B13,E04,疯狂凝视,全团,机制|稳定,无,90,理智大幅下降,多人被控后灭团,低心态者更易崩
B13,E05,脑内爆发,传送门组,实力|机制|Boss经验,嗜血/爆发,93,阶段超时一次,脑内超时直接灭团,高学习第三把受益
B14,E01,坦克减伤链,双坦+治疗,坦克水平|治疗水平|稳定,双高质量坦克,96,主坦重伤消耗战复,减伤断档直接灭团,装备权重高
B14,E02,坍缩星节奏,指定DPS,意识|团队性|服从,远程,97,星爆时间偏差,两星同时爆炸灭团,数据执着加难
B14,E03,宇宙重击,随机3人,机制|稳定,无,94,个人死亡,多人死亡无法恢复,压力抗性重要
B14,E04,大爆炸进洞,全团,机制|服从|Boss经验,无,98,个别人进错洞,多人未进洞直接灭团,第三把学习加成有限
B14,E05,最终输出,全团,专精水平|装等|存活人数,嗜血,98,低血量狂暴,输出不足灭团,三治疗明显惩罚
