scene,style_or_trait,template,speaker_scope,target_scope,maintenance_note
报名,混子,攻略看过，{spec}求带,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,攻略看过，{spec}能进吗,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}大概会，能带就拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}记不太全，求个不喷的团,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}半熟，能进不,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}会跟标，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}跟标走，求带一手,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}听指挥，能收不,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}还缺吗,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}来一个,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}求进组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}有位置没,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}来,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}找个组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}能进吗,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,这边{spec}一个，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}一个，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}能补吗,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}在线，直接拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}求组，人在本门口,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,{spec}现在能进不,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,极简,刚上线，{spec}有坑没,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}熟练,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}全通,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}打过不少车,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}大号打烂了，这号也会,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}机制都会,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}机制稳，不乱送,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}成就有,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,全通{spec}，来个位置,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,全通{spec}，听指挥,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}机制熟，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}熟练，听安排,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,{spec}熟练，不用教学,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,奥杜尔熟练，{spec}求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,经验,奥杜尔熟练，{spec}有麦,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}打工，便宜提升也收,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}打工，不保消费,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}捡漏，贵了就P,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}贵了不要,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}贵了不追，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}能打，装备随缘,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}手法有，G不多,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}便宜提升会收，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}有便宜货会拍，求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}能打，低价装也能消化,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}主要分金，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}排骨一根，找个稳团,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}来分金，活都会干,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}便宜就拿，贵了就P,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,排骨,{spec}捡漏型，求个位置,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}老板带带,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}求个好心团长,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}不会的可以问吗,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}气氛团求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}找个气氛团，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}求组，别全程压力人,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}想进个能正常说话的团,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}有不懂会问，能拉不,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}求组，团长愿意讲就行,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}想进，别不会还不让问,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}好说话，听安排，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}不抬杠，求个位置,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}愿意配合，能进不,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}有人教就能打，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,社交型,{spec}求带，别一失误就喷,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,{spec}能打到十二点,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,{spec}最多打一小时,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,{spec}只打一把,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,{spec}过不了我就下,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,时间不多，能打到十二点,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,时间不多，只能打一小时,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,时间不多，最多尝试三把,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,先说好，能打到十二点,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,先说好，只能打一小时,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,先说好，最多尝试三把,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,我最多打到十二点，先说好,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,我只能打一小时，够就拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,我最多陪三把，能接受就拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,十二点必须下，别到点硬留,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,时间限制,只能打一小时，到点真走,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}有消费，看掉落买,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}有提升会出,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}出需求就拍,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}能打能消费,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}老板，能躺也能打,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}老板位还有吗,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}不躺，有消费,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}有提升就买，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}能打能买，求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}有消费，可验G,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}带够G了，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}预算够，求个老板坑,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}G带够了，可以验,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}出需求就拍，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,消费,{spec}不装死，出货会拍,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,{spec}小号熟练,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,{spec}小号补进度，不装新,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,{spec}大号打过,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,{spec}大号全通，小号没成就,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,{spec}装等差点，机制没问题,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,小号没成就，{spec}会打,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,小号没成就，{spec}点名打断都会,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,小号没成就，{spec}不会坑人,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,这号装等一般，{spec}机制熟,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,这号装等一般，{spec}该干的活都会,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,这号装等一般，{spec}手法正常,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,大号打过，{spec}熟练,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,大号打过，{spec}点名打断都会,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,大号打过，{spec}这号不装新,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,小号,小号补进度，{spec}会打,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}别组不会的,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}只进熟练团,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}别浪费时间,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}菜的别组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}过不了就散,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}只进熟练团，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}只打熟练团，有坑就拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}熟练，别组教学号,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,先说好，{spec}不陪开荒,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}只打快车，能过就拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}别组不会的，拉了就打,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}来，前提别组纯新手,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}能打，团里别全是教学号,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}等拉，别让我进去带九个,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,压力,{spec}时间不多，只找稳团,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}包不犯错,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}随便验,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}数据不会差,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}数据稳，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}输出有保证，求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}数据能打，有坑没,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}机制稳，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}不犯低级错，求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}机制熟，还有坑吗,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}随便验，直接拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}可验成就，求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}成就日志都能验，有坑没,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}到位就开，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,自信,{spec}人在门口，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
灭团,玻璃心,我知道错了，不用所有人轮着说一遍,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,行，锅给我背，但别一直在语音里阴阳,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,我已经道歉了，再骂也不会让这把复活,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,我就失误一次，别说得像全程都是我送的,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,团长说我可以，其他人先别补刀了,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,我下一把会注意，能不能先别点我名字,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,如果觉得我不行直接换，没必要一直嘲讽,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,我认这个失误，但前面几波不是我的问题,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,别拿“全通经验”来讽刺，我确实打过,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,玻璃心,再说我两句我真不想打了,责任人,自己,仅用于被战斗记录判定为责任人的成员回应自身失误
灭团,不开麦,打字就行,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,我没麦,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,能听不能说,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,YY坏了,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,团长打字说一下,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,我能听，刚才来不及打字，下把提前站,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,麦坏了，口令照旧，我看团警,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,刚才那个是我，字打到一半人就没了,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,给我头上挂个标，我跟标走,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,需要我报点就看团队频道，我会打数字,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,我这边只能听不能说，打断我用“1”确认,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,下把开怪前把顺序贴一下，我截图,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,临时点名别等我回话，我直接按标记处理,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,我打字慢，但指挥说的都听到了,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,不开麦,刚才没回应不是不在，我手没空切聊天框,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,……我先跑尸,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,1，知道了,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,知道了,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,嗯，下把注意,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,再来一把,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,1，下把来,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,我的,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,嗯，明白,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,收到,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,直接开吧,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,看到了,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,修,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,这把我错,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,按原来打,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,沉默型,……走神了,非责任人,全团或战术安排,普通复盘发言；不要写成自己犯错或主动接锅
灭团,调解者,别吵了，给我个面子，先听团长说,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,有问题打完再说,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,先听团长复盘,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,都少说两句,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,知道问题就行,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,先别互喷，至少问题已经看出来了,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,先别互相点名，团长把这波原因说完,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,这把两个问题叠一起了，拆开处理就行,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,都少说一句，修好装备先回位置,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,责任后面再算，先把打断顺序重新排了,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,不是一个人的锅，站位和口令都乱了,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,刚才情绪上来了，先喝口水再开,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,会的别急着喷，不会的现在问清楚,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,先统一下一把怎么跑，别各打各的理解,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,调解者,能调整就继续，吵起来只会再送一把,非责任人,全团,用于调解、经验复盘或鼓励继续尝试
灭团,拱火者,谁干的啊，查日志，抓内鬼,非责任人,明确责任人或团队,用于质疑、数据复盘、讽刺或追责；不能写第一人称认错
灭团,拱火者,刚才那个是谁啊,非责任人,明确责任人或团队,用于质疑、数据复盘、讽刺或追责；不能写第一人称认错
灭团,拱火者,是不是有内鬼啊,非责任人,明确责任人或团队,用于质疑、数据复盘、讽刺或追责；不能写第一人称认错
灭团,拱火者,真是优秀的团队,非责任人,明确责任人或团队,用于质疑、数据复盘、讽刺或追责；不能写第一人称认错
